FORMATO;SFG MOSTAZAL;SFG. MOLINA;GF MALLOA;CHAMONATE SPA;AGRICOLA EL CARMELO;LOS NOBLES
C0535096CEAMGE;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143
C0535096CEAMGK;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143
C0535096CEAMGL;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143
C0535096CEAMGR;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143
C0535096CEAMGT;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143
C0535096CEAMGH;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143
C0535096CEMIGT;0,125;0,125;0,142857143;0,142857143;0,142857143;0,142857143
C0535096CEHHGE;0,125;0,125;0,125;0,125;0,125;0,125
C0535096CEHHGK;0,125;0,125;0,125;0,125;0,125;0,125
C0535096CEHHGR;0,125;0,125;0,125;0,125;0,125;0,125
C0535096CEHHGT;0,125;0,125;0,125;0,125;0,125;0,125
C0535096CEHTGE;0,125;0,125;0,125;0,125;0,125;0,125
C0535096CEAB16;0,2;0,2;0,2;0,2;0,2;0,2
C0635120CEAMG3;0,5;0,5;0,5;0,5;0,5;0,5
C0535100CEAMGR;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333
C0535100CEAMGT;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333
C0535100CEHHGE;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333
C0535100CEHHGR;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333
P1035140CEAMGE;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143
P1035140CEAMGR;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143
P1035140CEAMGL;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143
P2532102CEAMGR;0,125;0,125;0,1;0,1;0,1;0,1
P2532102CEAMGE;0,125;0,125;0,1;0,1;0,1;0,1
P2532102CEHHGE;0,125;0,125;0,1;0,1;0,1;0,1
P2532102CEHHGR;0,125;0,125;0,1;0,1;0,1;0,1
P2532102CEHTGE;0,125;0,125;0,1;0,1;0,1;0,1
C0535096CEAS10;0,25;0,25;0,25;0,25;0,25;0,25
C0535096CEPS10;0,25;0,25;0,25;0,25;0,25;0,25
C4434125CEHHGR;0,166666667;0,166666667;0,166666667;0,166666667;0,166666667;0,166666667
C4434125CEHHGT;0,166666667;0,166666667;0,166666667;0,166666667;0,166666667;0,166666667
C4434125CEAMGR;0,166666667;0,166666667;0,25;0,25;0,25;0,25
C4434125CEAMGH;0,166666667;0,166666667;0,166666667;0,166666667;0,166666667;0,166666667
C4635096CEHHGR;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143
C4635096CEAMGR;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143
C4635096CEAMGH;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143
C4635096CEPS10;0,25;0,25;0,142857143;0,142857143;0,142857143;0,142857143
C7246123CEHT8K;1,25;1,25;1,25;1,25;1,25;1,25
C7246123CEHT8J;1,25;1,25;1,25;1,25;1,25;1,25
C7246123CEHT8B;1,25;1,25;1,25;1,25;1,25;1,25
C7246123CEHT8C;1,25;1,25;1,25;1,25;1,25;1,25
C7246123CEMI8T;1,25;1,25;1,25;1,25;1,25;1,25
C7246123CEAT8C;1,25;1,25;1,25;1,25;1,25;1,25
C1035152CEAMGR;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143
P0232087CEAMGR;0,2;0,2;0,2;999999;999999;999999
P0232087CETSGR;999999;999999;0,125;0,125;0,125;0,125
C0546070CEAB16;0,2;0,2;0,2;0,2;0,2;0,2
C1035152CEHHGR;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143
C0535100CEAMGK;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333
C0535100CEAMGE;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333
C8535133CEAMGE;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143
